工,165
碗,165
雁,164
换,163
乃,163
块,162
余,161
离,161
保,160
引,159
茗,159
微,158
摆,158
倘,158
涂,157
婶,156
宫,155
翠,155
偷,155
递,155
配,155
炕,155
辞,154
治,154
深,153
佛,153
京,152
盘,152
幸,152
桌,152
恼,152
调,151
关,151
守,151
假,150
预,150
堂,149
归,149
莺,148
娶,148
推,148
纸,147
致,146
托,146
遍,146
抬,146
诸,146
够,146
利,145
俱,145
客,145
扶,145
设,144
飞,144
须,144
暗,144
另,144
量,144
任,143
朝,142
根,142
易,142
止,141
隐,140
计,140
害,140
草,140
精,140
纹,140
按,139
顺,139
加,138
敬,138
退,138
逛,138
力,136
纪,136
称,136
差,136
侄,136
莲,135
趁,135
番,134
妥,134
怜,134
跪,134
代,133
共,133
戚,133
帘,132
福,132
拜,132
嚷,132
黄,131
结,131
异,131
改,131
烧,131
城,130
初,130
露,130
破,130
虚,130
挂,130
化,130
足,129
造,129
甄,128
翻,128
讲,127
笔,127
监,127
舍,125
铺,125
痴,124
哄,124
辈,124
忍,123
蟾,122
横,122
饮,121
元,121
奈,121
怀,120
观,120
费,120
棋,120
医,119
承,119
势,119
魂,119
委,119
节,119
友,118
变,118
除,118
犹,118
角,118
词,117
借,117
绝,117
妻,117
低,117
嫌,116
读,116
汤,116
捧,116
轿,116
装,116
度,115
跳,115
顿,115
赌,115
阴,114
寒,114
联,113
痛,113
剩,113
慌,113
缘,111
北,111
谈,111
短,111
供,111
木,111
犯,111
耳,110
嘻,110
凭,110
含,109
庵,109
钏,109
暂,109
卖,109
条,109
惟,109
折,109
迟,109
牌,108
形,108
隔,107
支,107
讨,107
蝌,107
举,106
值,106
皮,106
绣,105
奉,105
锦,105
彼,105
善,105
姓,105
庙,105
斗,105
撒,105
磕,105
究,104
试,104
私,104
师,104
巴,104
贼,104
蔷,103
拣,103
竖,103
楼,102
美,102
华,102
功,102
久,102
唱,102
伺,102
影,101
封,101
旺,101
例,101
摇,101
贴,101
怡,100
味,100
枝,100
歹,100
垂,100
纵,99
登,99
招,99
游,98
曲,98
音,98
遭,98
掩,98
左,98
误,97
妨,97
准,97
岫,97
寿,96
尝,96
妆,96
套,96
概,96
厅,96
补,95
树,95
猜,95
吓,95
燕,94
斟,94
扇,94
负,94
裳,94
冯,94
抄,93
愁,93
挑,93
菜,93
搁,93
案,92
潇,92
粉,92
纱,92
旨,92
业,92
罚,92
馆,91
机,91
双,91
约,91
油,91
侯,91
阳,91
仗,91
板,91
眉,90
食,90
英,90
懒,90
针,90
藏,90
醉,89
叶,89
梅,89
墨,89
富,89
务,89
线,89
执,89
响,88
薄,88
骨,88
居,88
绿,88
临,88
帖,88
嘱,88
掷,88
径,88
识,87
偶,87
丧,87
屈,87
德,87
脱,87
撞,87
血,87
羞,86
祭,86
规,86
坏,86
劳,86
碰,86
摸,86
社,85
阵,85
阁,85
凉,85
遣,85
停,85
慰,84
嫁,84
悔,84
益,84
修,84
伸,84
躲,84
索,84
莫,83
据,83
竹,83
防,83
饶,83
屏,83
梳,83
土,82
疯,82
消,82
鸡,82
躺,82
靠,81
仁,81
恰,81
台,81
围,81
宽,81
兮,81
盆,81
圣,81
历,80
软,80
肉,80
惯,80
黑,80
昏,80
拦,80
乡,79
怔,79
墙,79
凑,79
咽,79
盖,79
腰,78
舌,78
参,78
部,78
拍,78
傻,78
良,77
特,77
尊,77
枕,77
吗,77
切,76
罗,76
君,76
伙,76
盛,76
族,76
庄,76
嗳,76
玩,75
温,75
鲜,75
避,75
扯,75
央,75
右,75
升,74
帮,74
操,74
娇,73
牙,73
品,73
赞,73
迹,73
章,73
睛,73
整,73
盒,73
镜,73
胆,73
伴,72
架,72
搬,72
吵,72
衙,72
矩,72
僧,71
尘,71
笼,71
争,71
暖,71
乎,71
掌,71
廊,71
汗,71
毛,71
幻,70
迷,70
穷,70
帕,70
桃,70
恶,70
沉,70
戴,70
扫,70
龙,69
愈,69
限,69
宜,69
班,69
箱,69
韵,69
编,68
丰,68
禀,68
表,68
片,68
室,68
习,68
模,68
椅,68
…,68
裁,67
惹,67
星,67
夏,67
丝,67
疏,67
挨,67
脉,67
雅,66
吟,66
歪,66
图,66
懂,66
松,66
槛,65
皇,65
粗,65
携,65
野,65
熟,65
抢,65
座,65
藕,65
压,65
哟,65
吹,65
制,64
矣,64
鼓,64
逼,64
催,64
缕,64
痕,64
灰,64
弱,63
披,63
街,63
搭,63
撵,63
州,62
职,62
铁,62
救,62
泣,62
耽,62
菊,62
杀,62
邪,62
胜,62
户,62
仔,62
层,62
狠,62
喊,62
瞅,62
芹,61
篇,61
酸,61
聚,61
吐,61
夹,61
视,61
恍,61
乏,61
排,60
淫,60
亭,60
夺,60
勇,60
雀,60
投,60
卧,60
休,60
吊,60
谅,60
抹,60
厨,60
颜,60
寺,59
瞒,59
蒙,59
号,59
淡,59
兼,59
滚,59
抓,59
奏,59
顶,59
窝,59
谎,59
脑,59
臊,59
脂,58
器,58
冤,58
缠,58
狗,58
尼,58
拘,58
罕,58
嗽,58
默,58
项,58
榻,58
杂,58
县,58
琥,58
珀,58
搜,58
啐,58
焙,58
棠,57
护,57
眷,57
壁,57
持,57
袄,57
怒,57
叙,57
荷,57
拟,56
零,56
坠,56
耍,56
团,56
米,56
瓶,56
册,56
期,55
勉,55
霜,55
惑,55
述,55
剪,55
揭,55
典,54
警,54
欺,54
宿,54
愧,54
儒,54
副,54
漱,54
貌,54
挪,54
倚,53
佳,53
寂,53
施,53
袖,53
巾,53
圆,53
锁,53
缎,53
悬,53
溜,53
咕,53
江,53
碍,53
察,53
呀,53
抽,53
专,53
肠,53
